BEGIN
SET
    date    | site |         team         | div | t_score |         opp          | div | o_score 
 2015-10-14 | home | Gordon               | D3  |     1.1 | Worcester St.        | D3  |     1.2
 2015-10-18 | home | Grambling            | D1  |     1.1 | Howard               | D1  |     4.3
 2015-10-16 | home | Grand Valley St.     | D2  |     3.0 | Michigan Tech        | D2  |     0.6
 2015-10-18 | home | Grand Valley St.     | D2  |     4.8 | Northern Mich.       | D2  |     0.5
 2015-10-14 | home | Greensboro           | D3  |     2.7 | William Peace        | D3  |     0.6
 2015-10-17 | home | Greenville           | D3  |     9.2 | Eureka               | D3  |     0.4
 2015-10-17 | home | Grove City           | D3  |     2.1 | Saint Vincent        | D3  |     0.8
 2015-10-17 | home | Gust. Adolphus       | D3  |     3.6 | Bethel (MN)          | D3  |     1.1
 2015-10-13 | home | Gwynedd Mercy        | D3  |     4.0 | Neumann              | D3  |     0.5
 2015-10-13 | home | Hamline              | D3  |     1.4 | Carleton             | D3  |     1.2
 2015-10-17 | home | Hanover              | D3  |     3.4 | Anderson (IN)        | D3  |     0.4
 2015-10-17 | home | Hardin-Simmons       | D3  |    11.8 | McMurry              | D3  |     0.3
 2015-10-17 | home | Hartwick             | D3  |     0.7 | Nazareth             | D3  |     0.7
 2015-10-17 | home | Harvard              | D1  |     1.8 | Brown                | D1  |     0.4
 2015-10-14 | home | Haverford            | D3  |     3.6 | Muhlenberg           | D3  |     0.6
 2015-10-17 | home | Haverford            | D3  |     1.6 | Johns Hopkins        | D3  |     1.6
 2015-10-18 | home | Hawaii               | D1  |     1.0 | CSUN                 | D1  |     3.0
